"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BXYQ93U5","journalArticle","2008","Cao, Lan; Ramesh, Balasubramaniam","Agile Requirements Engineering Practices: An Empirical Study","IEEE Software","","1937-4194","10.1109/MS.2008.1","","An analysis of data from 16 software development organizations reveals seven agile RE practices, along with their benefits and challenges. The rapidly changing business environment in which most organizations operate is challenging traditional requirements-engineering (RE) approaches. Software development organizations often must deal with requirements that tend to evolve quickly and become obsolete even before project completion. Rapid changes in competitive threats, stakeholder preferences, development technology, and time-to-market pressures make prespecified requirements inappropriate.","2008-01","2023-05-03 15:15:13","2023-05-03 15:15:13","","60-67","","1","25","","","Agile Requirements Engineering Practices","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Software","","C:\Users\gabra\Zotero\storage\GFAPEXCU\4420071.html","","","agile software development; Data analysis; Design engineering; Feedback; Programming; Project management; Protection; Quality management; requirements engineering; Software development management; Software quality; Urban areas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z82Y5CP4","webpage","","","Requirements engineering and agile software development | IEEE Conference Publication | IEEE Xplore⁤","","","","","https://ieeexplore.ieee.org/abstract/document/1231428","","","2023-05-03 15:16:15","2023-05-03 15:16:15","2023-05-03 15:16:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3FSZ7E5","conferencePaper","2003","Paetsch, F.; Eberlein, A.; Maurer, F.","Requirements engineering and agile software development","WET ICE 2003. Proceedings. Twelfth IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises, 2003.","","","10.1109/ENABL.2003.1231428","","This article compares traditional requirements engineering approaches and agile software development. Our paper analyzes commonalities and differences of both approaches and determines possible ways how agile software development can benefit from requirements engineering methods.","2003-06","2023-05-03 15:16:20","2023-05-03 15:16:20","","308-313","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1080-1383","","","","","Programming; Collaboration; Collaborative software; Collaborative work; Context modeling; Customer satisfaction; Documentation; Knowledge engineering; Software engineering; System analysis and design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WET ICE 2003. Proceedings. Twelfth IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises, 2003.","","","","","","","","","","","","","","",""
"IVED7NZ3","webpage","","","Requirements engineering: A systematic mapping study in agile software development - ScienceDirect","","","","","https://www.sciencedirect.com/science/article/abs/pii/S0164121218300141","","","2023-05-03 15:16:37","2023-05-03 15:16:37","2023-05-03 15:16:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGY8R9IP","journalArticle","2010","Lucia, Andrea De; Qusef, Abdallah","Requirements Engineering in Agile Software Development","Journal of Emerging Technologies in Web Intelligence","","1798-0461","10.4304/jetwi.2.3.212-220","http://www.jetwi.us/index.php?m=content&c=index&a=show&catid=161&id=923","Finding out, analyzing, documenting, and checking requirements are important activities in all development approaches, including agile development. This paper discusses problems concerned with the conduction of requirements engineering activities in agile software development processes and suggests some improvements to solve some challenges caused by agile requirements engineering practices in large projects, like properly handling and identifying sensitive (including nonfunctional) requirements, documenting and managing requirements documentation, keeping agile teams in contact with outside customers. The paper also discusses the requirements traceability problem in agile software development and the relationships between the traceability and refactoring processes and their impact on each other.","2010-08-20","2023-05-03 15:16:58","2023-05-03 15:16:59","2023-05-03 15:16:58","212-220","","3","2","","JETWI","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\gabra\Zotero\storage\JMUWZF6X\Lucia and Qusef - 2010 - Requirements Engineering in Agile Software Develop.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9H33QQM","webpage","","","A Mapping Study on Requirements Engineering in Agile Software Development | IEEE Conference Publication | IEEE Xplore⁤","","","","","https://ieeexplore.ieee.org/abstract/document/7302452","","","2023-05-03 15:17:07","2023-05-03 15:17:07","2023-05-03 15:17:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L326B76X","bookSection","2007","Düchting, Markus; Zimmermann, Dirk; Nebe, Karsten","Incorporating User Centered Requirement Engineering into Agile Software Development","Human-Computer Interaction. Interaction Design and Usability","978-3-540-73104-7 978-3-540-73105-4","","","http://link.springer.com/10.1007/978-3-540-73105-4_7","","2007","2023-05-03 15:17:26","2023-05-03 15:17:26","2023-05-03 15:17:26","58-67","","","4550","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-540-73105-4_7","","C:\Users\gabra\Zotero\storage\JLWB3XN3\Düchting et al. - 2007 - Incorporating User Centered Requirement Engineerin.pdf","","","","Jacko, Julie A.","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Doug; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N4SNHIDW","journalArticle","2017","Schön, Eva-Maria; Thomaschewski, Jörg; Escalona, María José","Agile Requirements Engineering: A systematic literature review","Computer Standards & Interfaces","","0920-5489","10.1016/j.csi.2016.08.011","https://www.sciencedirect.com/science/article/pii/S0920548916300708","Nowadays, Agile Software Development (ASD) is used to cope with increasing complexity in system development. Hybrid development models, with the integration of User-Centered Design (UCD), are applied with the aim to deliver competitive products with a suitable User Experience (UX). Therefore, stakeholder and user involvement during Requirements Engineering (RE) are essential in order to establish a collaborative environment with constant feedback loops. The aim of this study is to capture the current state of the art of the literature related to Agile RE with focus on stakeholder and user involvement. In particular, we investigate what approaches exist to involve stakeholder in the process, which methodologies are commonly used to present the user perspective and how requirements management is been carried out. We conduct a Systematic Literature Review (SLR) with an extensive quality assessment of the included studies. We identified 27 relevant papers. After analyzing them in detail, we derive deep insights to the following aspects of Agile RE: stakeholder and user involvement, data gathering, user perspective, integrated methodologies, shared understanding, artifacts, documentation and Non-Functional Requirements (NFR). Agile RE is a complex research field with cross-functional influences. This study will contribute to the software development body of knowledge by assessing the involvement of stakeholder and user in Agile RE, providing methodologies that make ASD more human-centric and giving an overview of requirements management in ASD.","2017-01-01","2023-05-03 15:18:48","2023-05-03 15:18:48","2023-05-03 15:18:48","79-91","","","49","","Computer Standards & Interfaces","Agile Requirements Engineering","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\gabra\Zotero\storage\35IR423I\Schön et al. - 2017 - Agile Requirements Engineering A systematic liter.pdf","","","Agile software development; Human-computer interaction; Requirements Engineering; Systematic literature review; User-centered design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDF8SQN6","journalArticle","2015","Inayat, Irum; Salim, Siti Salwah; Marczak, Sabrina; Daneva, Maya; Shamshirband, Shahaboddin","A systematic literature review on agile requirements engineering practices and challenges","Computers in Human Behavior","","0747-5632","10.1016/j.chb.2014.10.046","https://www.sciencedirect.com/science/article/pii/S074756321400569X","Unlike traditional software development methods, agile methods are marked by extensive collaboration, i.e. face-to-face communication. Although claimed to be beneficial, the software development community as a whole is still unfamiliar with the role of the requirements engineering practices in agile methods. The term “agile requirements engineering” is used to define the “agile way” of planning, executing and reasoning about requirements engineering activities. Moreover, not much is known about the challenges posed by collaboration-oriented agile way of dealing with requirements engineering activities. Our goal is to map the evidence available about requirements engineering practices adopted and challenges faced by agile teams in order to understand how traditional requirements engineering issues are resolved using agile requirements engineering. We conducted a systematic review of literature published between 2002 and June 2013 and identified 21 papers, that discuss agile requirements engineering. We formulated and applied specific inclusion and exclusion criteria in two distinct rounds to determine the most relevant studies for our research goal. The review identified 17 practices of agile requirements engineering, five challenges traceable to traditional requirements engineering that were overcome by agile requirements engineering, and eight challenges posed by the practice of agile requirements engineering. However, our findings suggest that agile requirements engineering as a research context needs additional attention and more empirical results are required to better understand the impact of agile requirements engineering practices e.g. dealing with non-functional requirements and self-organising teams.","2015-10-01","2023-05-03 15:18:53","2023-05-03 15:18:53","2023-05-03 15:18:53","915-929","","","51","","Computers in Human Behavior","","Computing for Human Learning, Behaviour and Collaboration in the Social and Mobile Networks Era","","","","","","en","","","","","ScienceDirect","","","","","","","Collaboration; Agile requirements engineering; Agile software development methods; Systematic review; Traditional requirements engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDUIIJVQ","conferencePaper","2014","Wang, Xinyu; Zhao, Liping; Wang, Ye; Sun, Jie","The Role of Requirements Engineering Practices in Agile Development: An Empirical Study","Requirements Engineering","978-3-662-43610-3","","10.1007/978-3-662-43610-3_15","","Requirements Engineering (RE) plays a fundamental role in all sorts of software development processes. Recently, agile software development has been growing in popularity. However, in contrast to the extensive research of RE in traditional software development, the role of RE in agile development has not yet been studied in depth. In this paper, we present a survey with three research questions to explore the treatment of RE in the practical agile development by investigating eight agile groups from four software development organizations. To answer the three research questions, we targeted at 108 participants with rich agile experiences and designed a questionnaire to collect their answers. Our survey shows that agile RE practices play a crucial role in agile development and they are an important prerequisite for projects’ success though many agile methods advocate coding without waiting for formal requirements and design specifications.","2014","2023-05-03 15:19:01","2023-05-03 15:19:01","","195-209","","","","","","The Role of Requirements Engineering Practices in Agile Development","Communications in Computer and Information Science","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","","","","","","agile software development; requirements engineering; requirements analysis; scrum; survey","Zowghi, Didar; Jin, Zhi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
