Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,-1.2385636360874237
75% Corpus,2,0.01,0.31,-1.1063346612559286
75% Corpus,2,0.01,0.61,-1.1009312640646773
75% Corpus,2,0.01,0.9099999999999999,-1.1023617165412412
75% Corpus,2,0.01,symmetric,-1.1073707030963515
75% Corpus,2,0.31,0.01,-1.1626154327759513
75% Corpus,2,0.31,0.31,-1.1095615783190662
75% Corpus,2,0.31,0.61,-1.1013637550894775
75% Corpus,2,0.31,0.9099999999999999,-1.1356399012286866
75% Corpus,2,0.31,symmetric,-1.1035377156532553
75% Corpus,2,0.61,0.01,-1.1608057884729495
75% Corpus,2,0.61,0.31,-1.1913548978074657
75% Corpus,2,0.61,0.61,-1.1324026240107612
75% Corpus,2,0.61,0.9099999999999999,-1.1329249571999123
75% Corpus,2,0.61,symmetric,-1.1324026240107612
75% Corpus,2,0.9099999999999999,0.01,-1.1378049475083492
75% Corpus,2,0.9099999999999999,0.31,-1.140404172110816
75% Corpus,2,0.9099999999999999,0.61,-1.135141376051069
75% Corpus,2,0.9099999999999999,0.9099999999999999,-1.132335228495685
75% Corpus,2,0.9099999999999999,symmetric,-1.1344726405794674
75% Corpus,2,symmetric,0.01,-1.1619182830930384
75% Corpus,2,symmetric,0.31,-1.1922159232506389
75% Corpus,2,symmetric,0.61,-1.1324026240107612
75% Corpus,2,symmetric,0.9099999999999999,-1.1329838316676872
75% Corpus,2,symmetric,symmetric,-1.1320438438961502
75% Corpus,2,asymmetric,0.01,-1.1845131828011353
75% Corpus,2,asymmetric,0.31,-1.092831585361527
75% Corpus,2,asymmetric,0.61,-1.094895401429958
75% Corpus,2,asymmetric,0.9099999999999999,-1.224975115707681
75% Corpus,2,asymmetric,symmetric,-1.092290865824933
75% Corpus,3,0.01,0.01,-1.2674960140000462
75% Corpus,3,0.01,0.31,-1.1881179001885995
75% Corpus,3,0.01,0.61,-1.566989360357822
75% Corpus,3,0.01,0.9099999999999999,-4.6397706664382765
75% Corpus,3,0.01,symmetric,-1.1880473179971824
75% Corpus,3,0.31,0.01,-1.2333070119906973
75% Corpus,3,0.31,0.31,-1.2088627374391752
75% Corpus,3,0.31,0.61,-1.5696467847558655
75% Corpus,3,0.31,0.9099999999999999,-4.100615704131258
75% Corpus,3,0.31,symmetric,-1.147728975254697
75% Corpus,3,0.61,0.01,-1.2642010806082176
75% Corpus,3,0.61,0.31,-1.2216309747284393
75% Corpus,3,0.61,0.61,-1.544159975117344
75% Corpus,3,0.61,0.9099999999999999,-2.7898221428583976
75% Corpus,3,0.61,symmetric,-1.2026760112864558
75% Corpus,3,0.9099999999999999,0.01,-1.3444786538910654
75% Corpus,3,0.9099999999999999,0.31,-1.2711779073862173
75% Corpus,3,0.9099999999999999,0.61,-1.335839627726524
75% Corpus,3,0.9099999999999999,0.9099999999999999,-2.103402727242722
75% Corpus,3,0.9099999999999999,symmetric,-1.2627179348052362
75% Corpus,3,symmetric,0.01,-1.231925647470093
75% Corpus,3,symmetric,0.31,-1.1574914979244115
75% Corpus,3,symmetric,0.61,-1.5676377807132287
75% Corpus,3,symmetric,0.9099999999999999,-4.4570454679865295
75% Corpus,3,symmetric,symmetric,-1.1490575283335203
75% Corpus,3,asymmetric,0.01,-1.1945711227308953
75% Corpus,3,asymmetric,0.31,-1.2878502086531147
75% Corpus,3,asymmetric,0.61,-1.8819587139253724
75% Corpus,3,asymmetric,0.9099999999999999,-4.606079387285074
75% Corpus,3,asymmetric,symmetric,-1.2236086118055427
75% Corpus,4,0.01,0.01,-1.2758435435514333
75% Corpus,4,0.01,0.31,-1.4208447005712264
75% Corpus,4,0.01,0.61,-4.14822062051455
75% Corpus,4,0.01,0.9099999999999999,-4.620451381286253
75% Corpus,4,0.01,symmetric,-1.3742431702527937
75% Corpus,4,0.31,0.01,-1.3618091815406768
75% Corpus,4,0.31,0.31,-1.439890014194126
75% Corpus,4,0.31,0.61,-3.8811161379492325
75% Corpus,4,0.31,0.9099999999999999,-4.9290154439568274
75% Corpus,4,0.31,symmetric,-1.4569881444264359
